,ProductName,Description,Gender,PrimaryColor,ProductBrand
12215,calvin klein jeans men navy blue slim fit mid-rise clean look stretchable jeans,"navy blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12216,calvin klein jeans men black & white regular fit checked casual shirt,"black and white checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, black,calvin klein jeans
12217,pepe jeans men rust red regular fit solid casual linen shirt,"maroon solid casual linen shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, red,pepe jeans
12218,levis men white sneakers,"a pair of round-toe white sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, white,levis
12219,puma men black one 19.4 fg ag synthetic football shoes,"product design details:a pair of black football sports shoes, has regular styling, lace-up detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
12220,calvin klein jeans men blue casual shirt,"blue solid opaque casual shirt ,has a spread collar,  button placket,  2 flap pocket, long regular sleeves,  curved hem",men,blue,calvin klein jeans
12221,calvin klein jeans men blue regular fit solid casual denim shirt,"blue solid casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 2 patch pockets",men,blue,calvin klein jeans
12222,fancy mart yellow & green artificial milkweed with pot,set content: 1 plant with pot plant type: artificial milkweed plant plant colour: yellow and green pot colour: white ,unisex, green,fancy mart
12223,only women blue daisy push up skinny fit mid-rise clean look stretchable cropped jeans,"blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",women,blue,only
12224,fancy mart green artificial water plant with pot,set content: 1 plant with pot plant type: artificial water plant plant colour: beige and green pot colour: brown ,unisex, green,fancy mart
12225,calvin klein jeans men pink & white striped polo collar t-shirt,"pink and white striped t-shirt, has a polo collar, and short sleeves",men, white,calvin klein jeans
12226,bownbee girls green & yellow jacquard woven design kurti with dhoti pants,"green and yellow woven design kurti with dhoti pantsgreen and golden jacquard woven design a-line above knee kurti with gota patti detail, has a round neck, short sleeves, flared hem, concelaed zip closure, waist tie-upyellow solid dhoti pants, has an elasticated waistband with slip-on closure",girls, green,bownbee
12227,pepe jeans men off-white printed round neck t-shirt,"off-white printed t-shirt, has a round neck, and short sleeves design details-pepe jeans mens round neck tshirt ,dyed in vibrant colours,has chest print",men, white,pepe jeans
12228,calvin klein jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, and long sleeves",men, black,calvin klein jeans
12229,levis men brown solid declan 2.0 sneakers,"a pair of round-toe brown sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, brown,levis
12230,612 league boys orange & navy blue checked casual shirt with a t-shirt,"orange and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocketnavy blue printed t-shirt, has a round neck, short sleeves",boys,blue,612 league
12231,levis men navy blue sneakers,"a pair of round-toe navy blue sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,levis
12234,flying machine women black twiggy super skinny fit mildly distressed stretchable jeans,"black dark wash 5-pocket mid-rise jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",women, black,flying machine
12235,pepe jeans men olive green & navy blue regular fit printed casual shirt,"olive green and navy blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men,blue,pepe jeans
12236,calvin klein jeans men black solid round neck t-shirt,"black solid t-shirt, has a round neck, and short sleeves",men, black,calvin klein jeans
12237,indian terrain men khaki urban slim tapered fit self design regular trousers,"khaki self-design low-rise trousers, button closure, and 4 pockets",men, red,indian terrain
12238,wrangler men grey melange solid hooded sweatshirt,"grey melange solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",men, grey,wrangler
12239,flying machine women blue skinny fit high-rise clean look stretchable jeans,"blue medium wash 5-pocket high-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",women,blue,flying machine
12240,calvin klein jeans men black printed sweatshirt,"black printed sweatshirt, has a round neck, long sleeves, straight hem",men, black,calvin klein jeans
12241,levis men black sneakers,"a pair of round-toe black sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,levis
12242,calvin klein jeans men green printed round neck t-shirt,"green printed t-shirt, has a round neck, and short sleeves",men, green,calvin klein jeans
12243,only women yellow floral printed maxi dress,"yellow printed woven maxi dress, has shoulder straps, sleeveless, and curved hem",women, yellow,only
12244,calvin klein jeans men blue slim fit mid-rise clean look stretchable jeans,"blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12245,belle fille women black lace detail sheath dress,"black solid knitted sheath dress with lace detail, has a round neck, three-quarter sleeves, and asymmetric hem",women, black,belle fille
12246,seiko white round solid analogue wall clock,colour: whitetype: analogue wall clockdesign: regularpattern: solidshape: roundtheme: contemporarymaterial: wood,unisex, white,seiko
12247,levis men navy blue lace-up sneakers,"a pair of round-toe navy blue & navy blue sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,levis
12249,flying machine women blue veronica skinny fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women,blue,flying machine
12250,levis men navy blue sneakers,"a pair of round-toe navy blue sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,levis
12251,only women rose solid round neck t-shirt,"rose solid t-shirt, has a round neck, and short sleeves",women, rose,only
12252,puma unisex black flexracer sneakers,"product design details:a pair of round-toe black sneakers, has regular styling, lace-up detailtextile uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
12253,pepe jeans men charcoal grey solid polo t-shirt,"charcoal grey solid t-shirt, has a polo collar, and short sleeves design details-pepe jeans mens polo.high density logo print.grindle pique fabric.regular fit.short sleeve.soft washed.",men, grey,pepe jeans
12254,park avenue men blue textured loafers,"a pair of round-toe blue loafers, has regular styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsole",men,blue,park avenue
12255,pepe jeans men white printed round neck t-shirt,"white printed t-shirt, has a round neck, and short sleeves design details-pepe jeans mens short sleeve tshirt with placement print,soft washed.",men, white,pepe jeans
12256,fusion beats women red & gold-coloured printed straight palazzos,"red and gold-coloured printed woven straight fit palazzos, opaque, and drawstring closure",women, red,fusion beats
12257,puma men black textile mid-top running nrgy neko turbo shoes,"product design details:a pair of black running sports shoes, has mid-top styling, lace-up detailtextile uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
12260,vero moda women white & black striped shirt dress,"white and black striped woven shirt dress, has a shirt collar, three-quarter sleeves, button closure, an attached lining, and flared hemcomes with a belt.",women, black,vero moda
12261,calvin klein jeans men white printed t-shirt,"white and black printed t-shirt, has a round neck, short sleeves",men, white,calvin klein jeans
12262,miss chase women solid mustard yellow sheath dress,"mustard yellow solid knitted sheath dress, has a round neck, three-quarter sleeves, and straight hem",women, yellow,miss chase
12263,ishin women mustard yellow embroidered straight kurta,"mustard yellow embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits",women, red,ishin
12264,pepe jeans men grey printed pure cotton slim round neck t-shirt,"grey printed t-shirt, has a round neck, and short sleeves",men, grey,pepe jeans
12265,calvin klein jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, and short sleeves",men, black,calvin klein jeans
12266,belle fille women black solid high-low semi-sheer top,"black solid woven high-low semi-sheer top, has a round neck, short sleeves, and concealed zip closure",women, black,belle fille
12267,612 league boys grey solid joggers,"grey solid joggers, has an elasticated waistband with drawstring closure, has two pockets, cuffed hems",boys, grey,612 league
12268,vero moda women black & white striped bardot top,"black and white striped woven bardot top, has an off-shoulder neck, and short sleeves",women, black,vero moda
12269,only women white solid regular crushed effect top,"white solid woven regular top, has a square neck, short sleeves, button closure",women, white,only
12270,only women burgundy slim fit solid peg trousers,"burgundy solid mid-rise peg trousers, slip-on closure, and 2 pocketscomes with a fabric belt",women, burgundy,only
12271,only women white & red checked top,"white and red checked woven regular  top, has a v-neck, long sleeves, and button closure",women, red,only
12272,only women green solid sweater,"green solid sweater, has a round neck, short sleeves, and straight hem",women, green,only
12273,puma unisex black smash v2 mid l sneakers,"product design details:a pair of round-toe black sneakers, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
12274,belle fille women white & blue striped blouson top,"white and blue striped woven blouson top, has a v-neck, and long sleeves, waist tie-up",women,blue,belle fille
12276,dorothy perkins women black regular fit textured cropped trousers,"black textured mid-rise cropped trousers, has a waistband with belt loop, hook and bar closure, zip fly, and two pockets",women, red,dorothy perkins
12277,vero moda women white striped a-line top,"white and blue striped woven a-line  top, has a round neck, and sleeveless",women, white,vero moda
12278,belle fille women navy blue solic maxi dress,"navy solid knitted maxi dress with crochet inserts and gathers, has a v-neck, short sleeves, concealed zip closure, and flared hem",women,blue,belle fille
12281,only women white & navy blue regular fit striped casual shirt,"white and navy blue striped casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",women,blue,only
12282,calvin klein jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, short sleeves, and 1 pockets",men, black,calvin klein jeans
12283,calvin klein jeans men black & beige regular fit checked casual shirt,"black and beige checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, black,calvin klein jeans
12284,calvin klein jeans men black solid joggers,"a pair of black solid joggers, has an elasticated waistband with drawstring closure, 2 pockets, and 1 mock pocket at the back",men, black,calvin klein jeans
12286,calvin klein jeans men blue & white slim fit printed casual shirt,"blue and white printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men,blue,calvin klein jeans
12288,612 league girls navy regular fit mid-rise clean look stretchable jeans,"navy dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loopscomes with a belt",girls, navy,612 league
12289,levis men white & navy blue solid sneakers,"a pair of round-toe white and navy blue sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,levis
12290,pepe jeans men white & charcoal grey regular fit checked casual shirt,"white and charcoal grey checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, white,pepe jeans
12291,flying machine women navy skinny fit mid-rise mildly distressed stretchable cropped jeans,"navy blue dark wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",women, navy,flying machine
12292,calvin klein jeans men blue regular fit solid casual denim shirt,"blue solid casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 2 flap pockets",men,blue,calvin klein jeans
12293,calvin klein jeans men blue solid polo t-shirt,"blue solid t-shirt, has a polo collar, and short sleeves",men,blue,calvin klein jeans
12295,pepe jeans men blue printed slim fit v-neck t-shirt,"blue and white printed t-shirt, has a v-neck, and short sleeves design details-pepe jeans mens all over printed round neck short sleeve slim fit tshirt,soft washed",men,blue,pepe jeans
12296,puma unisex black mesh escaper core running shoes,"product design details:a pair of black running sports shoes, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
12297,jompers women mustard yellow & navy blue solid kurta with palazzos,"mustard yellow and navy blue solid kurta with palazzosmustard yellow solid straight calf length kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, full button placketmustard yellow and navy blue printed palazzos, has elasticated waistband, slip-on closure",women,blue,jompers
12298,saadgi women red & white handloom chikankari embroidered straight kurta,"maroon and white handloom chikankari embroideredstraight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits",women, red,saadgi
12299,prita white & navy blue beaded handcrafted multistranded necklace,white and navy blue beaded handcrafted multistranded necklacematerial and stone type: synthetic with artificial beadsclosure: lobster closure,women,blue,prita
12300,calvin klein jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, and short sleeves",men, black,calvin klein jeans
12301,studio voylla silver-toned drop earrings,silver-toned  earrings and silver-plated secured with a post and back,women, silver,studio voylla
12302,pepe jeans men white & blue printed polo collar t-shirt,"white and blue printed t-shirt, has a polo collar, and short sleeves design details-pepe jeans mens polo.all over  printed.regular fit.short sleeve.soft washed.",men,blue,pepe jeans
12303,only women navy blue & white regular fit striped parallel trousers,"navy blue and white striped mid-rise trousers, slip-on closure, and 2 pockets",women,blue,only
12304,miss chase women mustard yellow printed top,"mustard yellow printed woven regular top, has a round neck, short sleeves, and button closure",women, yellow,miss chase
12305,calvin klein jeans men white solid v-neck t-shirt,"white solid t-shirt, has a v-neck, and short sleeves",men, white,calvin klein jeans
12306,calvin klein jeans men black & white brand logo print cotton round neck t-shirt,"black and white brand logo print t-shirt, has a round neck, short sleeves and a straight hem",men, black,calvin klein jeans
12307,flying machine women navy blue regular fit mid-rise clean look stretchable jeans,"navy blue dark wash 3-pocket mid-rise stretchable jeans, clean look, no fade, has a button and zip closure and two mock pockets in front",women,blue,flying machine
12308,ether men blue anti slim fit microbial filafil  shirt with super slim collar,"blue anti-microbial casual shirt in filafil fabric, has a super-slim collar, full button placket, long sleeves, welt pocket, curved hemline features & benefits:anti-microbial finishoptimum lengthsignature knit yoke for added comfort.",men,blue,ether
12309,calvin klein jeans men purple solid polo collar t-shirt,"purple solid t-shirt, has a polo collar, and short sleeves",men, purple,calvin klein jeans
12310,fos lighting brown wicker cane dome wall lamp,"add warmth to any room with this wall light. the earthy, natural appearance of the hand woven wicker in natural finish and golden ornate border lets the light shine through in all directions.",unisex, brown,fos lighting
12311,levis men black sneakers,"a pair of round-toe black sneakers, has regular styling, slip-on detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,levis
12312,pepe jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, and short sleeves design details-pepe jeans mens short sleeve slim fit tshirt with union jack inspired chest print.",men, black,pepe jeans
12314,saree mall pink floral print saree,"pink floral print saree, has a solid borderblouse piecethe model is wearing a stitched version of the blouse. the saree comes with an unstitched blouse piece",women, pink,saree mall
12315,calvin klein jeans men blue body skinny fit mid-rise clean look jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12316,calvin klein jeans men blue 027 slim fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12319,calvin klein jeans men blue regular fit mid-rise low distress stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12321,flying machine women charcoal grey skinny fit mid-rise clean look stretchable jeans,"charcoal grey dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women, grey,flying machine
12322,levis men olive green solid canvas mid-top sneakers,"a pair of round-toe olive green sneakers, has mid-top styling, lace-up detailcanvas uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, green,levis
12323,pepe jeans men white solid round neck t-shirt,"white solid t-shirt, has a round neck, short sleeves, and 1 pocket",men, white,pepe jeans
12324,calvin klein jeans men white slim fit self-striped casual shirt,"white self-striped casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men, white,calvin klein jeans
12325,only women pink self design fit and flare dress,"pink self design woven fit and flare dress, has a v-neck, sleeveless, an attached lining, and flared hem",women, pink,only
12326,fancy mart red & green artificial fruit bonsai with pot,set content: 1 plant with pot plant type: artificial pomegranate fruit bonsai plant plant colour: red and green pot colour: black ,unisex, green,fancy mart
12327,calvin klein jeans men white slim fit printed round neck t-shirt,"white printed t-shirt, has a round neck, and long sleeves",men, white,calvin klein jeans
12328,pepe jeans men black solid cotton hooded sweatshirt,"black solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",men, black,pepe jeans
12329,ives women black & purple floral printed a-line top,"black and purple printed woven regular top, has a round neck, three-quarter sleeves, and button closure",women, black,ives
12330,priyaasi maroon beaded & handcrafted necklace,maroon beaded and handcrafted necklace with stone-studded detailmaterial and stone type: synthetic with artificial stone and beadsclosure: magnetic,women, maroon,priyaasi
12331,westclo women green & gold-toned printed fit and flare dress,"green and gold-toned printed woven fit and flare dress, has a round neck, three-quarter sleeves, button closure, and flared hem",women, green,westclo
12332,puma men black mesh supernal nu 2 idp asphalt running shoes,"product design detail:a pair of black & orange running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
12333,calvin klein jeans men blue solid polo t-shirt,"blue solid t-shirt, has a polo collar, and short sleeves",men,blue,calvin klein jeans
12334,levis men white sneakers,"a pair of round-toe white sneakers, has regular styling, slip-on detailcanvas uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, white,levis
12335,puma men grey solid thong flip-flops,a pair of grey solid flip flopssynthetic upper materialcushioned footbedpatterned rubber outsolewarranty: 3 monthswarranty provided by brand/manufacturer,men, grey,puma
12336,saadgi women orange & white chikankari embroidered straight kurta,"orange and white chikankari embroidered handloom straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",women, red,saadgi
12337,puma unisex navy blue smash v2 peacoat sneakers,"product design details:a pair of round-toe navy blue sneakers, has regular styling, lace-up detailsuede uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex,blue,puma
12339,belle fille women blue & red printed layered wrap dress,"blue and red printed layered woven wrap dress, has a v-neck, three-quarter sleeves, concealed zip closure and button closure on the back, and flared hemcomes with a belt",women,blue,belle fille
12340,caprese peach-coloured solid sling bag,"peach-coloured solid sling bag, has a twist closure1 main compartment, 1 inner pocket, 1 external pockettablet sleeve: nohas a non-detachable sling strap",women, red,caprese
12342,calvin klein jeans men off-white & grey regular fit striped pure cotton casual shirt,"off-white and grey striped casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men, white,calvin klein jeans
12343,puma unisex black nucleus run-high risk red,product designn detailsa pair of round-toe black sneakershas regular stylinglace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer,unisex, red,puma
12344,calvin klein jeans men black slim fit solid regular trousers,"black solid mid-rise trousers, button closure, and 5 pockets",men, black,calvin klein jeans
12346,puma men black textile mid-top running shoes,"a pair of black running sports shoes, has mid-top styling, lace-up detailtextile uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
12347,pepe jeans men grey zoran vapour slim fit low-rise clean look stretchable jeans,"grey medium wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops design details-73 fashion- signarature brand carrier stylised 5 pocket slim fit- mid rise  jeans,  light grey- heavily faded clean look,  zip fly & 5 belt loops",men, grey,pepe jeans
12348,calvin klein jeans men grey slim fit mid-rise clean look stretchable jeans,"grey medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men, grey,calvin klein jeans
12349,satrani purple ready to wear lehenga with blouse,"purple lehenga cholipurple blouse, sleevelesspurple ready to wear lehenga, straight hem",women, purple,satrani
12350,pepe jeans men navy blue & white regular fit striped casual shirt,"navy blue and white striped casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men,blue,pepe jeans
12351,ishin women pink & white foil print kurta with skirt,"pink and white foil print kurta with skirtpink and white foil print straight calf length kurta with embroidered detail and gotta patti work, has a tie-up neck, three-quarter sleeves, straight hem, side slitswhite solid flared skirt, has an elasticated waistband with slip-on closure",women, white,ishin
12352,fablestreet women mustard checked top,"mustard checked woven regular  top, has a square neck, and three-quarter sleeves",women, mustard,fablestreet
12353,pepe jeans men black solid polo collar t-shirt,"black solid t-shirt, has a polo collar, and short sleeves",men, black,pepe jeans
12354,levis men black solid basic 2.0 sneakers,"a pair of round-toe black sneakers, has regular styling, lace-up detailsynthetic leather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,levis
12355,saadgi women coral pink & white embroidered handloom sheer straight kurta,"coral pink and white chikankari embroidered handloom sheer straight kurta, has a notched round neck, three-quarter sleeves, straight hem, side slits",women, red,saadgi
12356,studio voylla gold-toned & red brass-plated contemporary drop earrings,"gold-toned and red contemporary earrings, brass-plated, and has artificial stonessecured with a post and back closure",women, red,studio voylla
12357,flying machine women blue veronica skinny fit mid-rise clean look stretchable crop jeans,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women,blue,flying machine
12358,calvin klein jeans men blue body tapered fit mid-rise clean look stretchable jeans ckj 059,"blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12359,calvin klein jeans men blue & white printed slim fit  casual shirt,"blue and white printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",men,blue,calvin klein jeans
12360,only women brown & black checked top,"brown and black checked woven regular  top, has a round neck, three-quarter sleeves, and button closure",women, black,only
12361,nike men black solid standard fit nsw ce pk basic dri-fit tracksuit,special technologies: dri-fit technology for moisture mangementproduct details: black solid tracksuit black solid sweatshirt has a mock collarzip closurelong raglan sleevestwo pocketsmesh liningblack solid mid-rise trackpantshas an elasticated waistband with a drawstring fasteningtwo pocketsmesh liningwarranty: 6 months against manufacturing defects (not valid on products with more than 20% discount),men, black,nike
12362,studio voylla women silver-plated oxidised contemporary drop earrings,silver-plated contemporary earrings and silver-platedsecured with a post and back,women, silver,studio voylla
12363,calvin klein jeans men black skinny fit mid-rise clean look stretchable jeans,"black dark mid-rise jeans with 5-pocket, clean look, no fade, has a button and zip closure, and waistband with belt loops",men, black,calvin klein jeans
12364,ishin women mauve & silver mirror work kurta with skirt,"mauve and silver mirror work kurta with skirtmauve and silver mirror work straight calf length kurta with gotta patti detail, has a tie-up neck, three-quarter sleeves, straight hem, side slitsmauve and silver solid skirt with gotta patti and tiered detail, has elasticated waistband, drawstring closure",women, silver,ishin
12365,seiko white round solid analogue wall clock,colour: whitetype: analogue wall clockdesign: regularpattern: solidshape: roundtheme: contemporarymaterial: wood,unisex, white,seiko
12366,mochi women black textured open toe flats,"a pair of black open-toed flats, has regular stylingsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",women, red,mochi
12367,flying machine women navy blue skinny fit mid-rise clean look stretchable jeans,"navy blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",women,blue,flying machine
12368,puma men navy blue textile mid-top running shoes,"product design detailsa pair of navy blue running sports shoes, has mid-top styling, lace-up detailtextile uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,puma
12370,kraus jeans women navy blue & yellow floral print bardot top,"navy blue and yellow printed woven bardot  top, has  shoulder straps, and three-quarter sleeves",women,blue,kraus jeans
12372,wish karo girls sea green solid fit and flare dress,"sea green solid knitted fit and flare dress, has a round neck, short sleeves, zip closure, and flared hem",girls, green,wish karo
12373,american crew men charcoal grey solid henley neck t-shirt,"charcoal grey solid t-shirt, has a henley neck, and long sleeves",men, grey,american crew
12374,wrangler men grey melange solid sweatshirt,"grey melange solid sweatshirt, has a mandarin collar, two pockets, long sleeves, zip closure, straight hem",men, grey,wrangler
12375,calvin klein jeans men beige slim fit solid chinos,"beige solid mid-rise chinos, button closure, and 5 pockets",men, beige,calvin klein jeans
12377,calvin klein jeans men blue body fit mid-rise clean look stretchable jeans ckj 027,"blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12378,wrangler men navy blue solid sweatshirt with pockets detailing,"navy blue solid sweatshirt, has a mandarin collar, 2 pockets, long sleeves with 2 pockets and , zip closure, straight hem",men,blue,wrangler
12379,puma men olive green mesh mid-top sneakers,"a pair of olive green & black running sports shoes, has mid-top styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, green,puma
12380,puma men brown solid thong flip-flops,a pair of brown solid flip flopssynthetic upper materialcushioned footbedpatterned rubber outsolewarranty: 3 monthswarranty provided by brand/manufacturer,men, brown,puma
12381,flying machine women navy blue regular fit high-rise clean look stretchable jeans,"navy blue medium wash 3-pocket high-rise stretchable jeans, clean look, light fade, has a button and zip closure, two mock pockets in front",women,blue,flying machine
12382,calvin klein jeans men navy blue & white slim fit striped casual shirt,"navy blue and white striped casual shirt, has a cutaway collar, long sleeves, button placket, and curved hem",men,blue,calvin klein jeans
12383,109f women blue dyed straight maxi skirt,"blue dyed straight maxi skirt, has an elasticated waistband, slip-on closure, straight hem, side slits",women,blue,109f
12384,flying machine women blue skinny fit mid-rise mildly distressed stretchable jeans,"blue medium wash 5-pocket mid-rise jeans, midly distressed look, light fade, has a button and zip closure and waistband with belt loops",women,blue,flying machine
12385,levis men white leather sneakers,"a pair of round-toe white sneakers, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, white,levis
12386,belle fille women green solid top,"green solid knitted top with applique detail, has a round neck, and short sleeves with loop and tab detail",women, green,belle fille
12387,pepe jeans men black printed round neck t-shirt,"black printed t-shirt, has a round neck, and short sleeves design details-pepe jeans mens slim fit short sleeve round neck tshirt with shiny chest print.",men, black,pepe jeans
12388,louis philippe men multicoloured regular fit printed casual shirt,"multicoloured printed casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",men, red,louis philippe
12389,belle fille women black solid top,"black solid knitted regular top, has a round neck, three-quarter sleeves",women, black,belle fille
12390,swiss military unisex black & black solid backpack,black backpackpadded haul loop2 main compartments with zip closuremesh backzip pocketadjustable padded shoulder strap: paddedusb charging socketpremium woven logopower bank pocket with a built-in usb cablerubberized feetwater-resistance: yeswarranty: 6 monthswarranty provided by brand/manufacturer,unisex, black,swiss military
12392,saadgi beige gotta patti dupatta,beige gotta patti dupatta,women, beige,saadgi
12393,calvin klein jeans men black skinny fit mid-rise clean look stretchable jeans,"black dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men, black,calvin klein jeans
12394,indian terrain men beige urban tapered fit self-design trousers,"beige self-design low-rise trousers, button closure, and 4 pockets",men, red,indian terrain
12395,calvin klein jeans men navy blue slim fit low-rise clean look jeans,"navy blue dark wash 5-pocket low-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",men,blue,calvin klein jeans
12397,pepe jeans men blue regular fit mid-rise clean look stretchable jeans,"blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops design details-73 fashion- signarature brand carrier stylised 5 pocket regular fit- straight leg  jeans, dark blue-  lightly faded- clean look,  zip fly & 5 belt loops",men,blue,pepe jeans
12398,calvin klein jeans men lime green solid high neck sports t-shirt,"lime regen solid t-shirt with mesh inserts, has a high neck with zip closure, and long sleeves with thumb holes.features:wick: pulls moisture away from the bodystretch: provides ultimate comfort by stretching as you move",men, green,calvin klein jeans
